一般,私立,中華大學,349901,科技管理學系,83.64,1
一般,私立,長榮大學,349901,科技管理學位學程,90,1
技職,私立,致理科技大學,349901,商務科技管理系,96.88,1
技職,公立,國立臺灣科技大學,349906,工業管理系,100,1
技職,公立,國立屏東科技大學,349906,工業管理系,97.67,1
技職,公立,國立虎尾科技大學,349906,工業管理系,98.86,1
一般,私立,中華大學,349906,工業管理學系,88.24,1
一般,私立,義守大學,349906,工業管理學系,92.94,1
一般,私立,真理大學,349906,工業管理與經營資訊學系,83.78,1
技職,私立,龍華科技大學,349906,工業管理系,91.84,1
技職,私立,健行科技大學,349906,工業管理系,79,1
技職,私立,萬能科技大學,349906,工業管理系,72.73,1
技職,私立,南開科技大學,349906,工業管理系,83.33,1
技職,私立,亞東技術學院,349906,工業管理系,96.1,1
一般,公立,國立成功大學,349908,工業與資訊管理學系,98.21,1
技職,私立,南臺科技大學,349909,管理與資訊系,95.42,1
技職,私立,華夏科技大學,349911,資產與物業管理系,48.89,1
一般,公立,國立屏東大學,349916,不動產經營學系,91.67,1
技職,私立,德明財經科技大學,349916,不動產投資與經營學位學程,95.12,1
技職,私立,德霖技術學院,349916,不動產經營系,40,1
一般,公立,國立臺北大學,349917,不動產與城鄉環境學系,96.67,1
技職,私立,修平科技大學,349919,人力資源管理與發展系,84,1
技職,公立,國立高雄應用科技大學,349920,人力資源發展系,100,1
一般,私立,大葉大學,349921,人力資源暨公共關係學系,96.08,1
一般,公立,國立嘉義大學,349923,生物事業管理學系,94,1
一般,私立,世新大學,349925,傳播管理學系,100,1
一般,私立,中華大學,349927,營建管理學系,74,1
技職,私立,輔英科技大學,349928,文教事業管理學位學程,48.57,1
技職,公立,國立臺北科技大學,349930,文化事業發展系,100,1
技職,公立,國立勤益科技大學,349930,文化創意事業系,97.87,1
一般,私立,南華大學,349930,文化創意事業管理學系,94.25,1
一般,私立,銘傳大學,349942,社會與安全管理學系,96.08,1
技職,私立,健行科技大學,349945,物業經營與管理系,87.37,1
技職,私立,和春技術學院,349945,房仲與物業管理系,12,1
技職,私立,吳鳳科技大學,349953,安全科技與管理系,66,1
技職,私立,蘭陽技術學院,349958,數位行銷系,21.54,1
一般,公立,國立宜蘭大學,349966,應用經濟與管理學系,91.86,1
技職,私立,崑山科技大學,349967,房地產開發與管理系,73.33,1
一般,私立,台灣首府大學,349971,休閒資訊管理學系,65.56,1
技職,私立,朝陽科技大學,349973,銀髮產業管理系,96.25,1
技職,私立,遠東科技大學,349975,創新設計與創業管理系,55,1
一般,公立,國立東華大學,349979,管理學院管理科學與財金國際學士學位學程,90,1
技職,私立,聖約翰科技大學,349981,時尚經營管理系,41,1
技職,私立,黎明技術學院,349981,時尚經營管理系,44.44,1
一般,私立,開南大學,349982,多媒體與行動商務學系,80.39,1
技職,私立,德明財經科技大學,349983,連鎖加盟經營管理學位學程,96.59,1
一般,公立,國立清華大學,349996,科技管理學院學士班,92.11,1
一般,私立,中原大學,349998,商學院不分系,98,1
一般,私立,元智大學,349999,管理學院,97.07,1
技職,私立,德霖技術學院,3499A0,會展與觀光系,91.67,1
一般,公立,國立臺灣海洋大學,3499A1,海洋觀光管理學士學位學程,96.67,1
技職,公立,國立臺北商業大學,3499A2,商品創意經營系,100,1
一般,私立,東吳大學,3499A4,巨量資料管理學院學士學位學程,98.89,1
一般,私立,長榮大學,3499A5,不動產財務金融學士學位學程,92.5,1
一般,公立,臺北市立大學,3499A6,都會產業經營與行銷學系,100,1
