type,national,name,department_number,department_name,enroll_rate
一般,公立,國立臺灣師範大學,140301,工業教育學系,97.62
一般,公立,國立彰化師範大學,140301,工業教育與技術學系,100
一般,公立,國立高雄師範大學,140302,工業科技教育學系,97.5
一般,公立,國立臺灣師範大學,140315,體育學系,97.73
一般,公立,國立高雄師範大學,140315,體育學系,100
一般,公立,國立臺東大學,140315,體育學系,88.1
一般,公立,國立臺南大學,140315,體育學系,95.12
一般,公立,國立臺北教育大學,140315,體育學系,97.96
一般,公立,國立新竹教育大學,140315,體育學系,100
一般,公立,國立臺中教育大學,140315,體育學系,88.64
一般,公立,國立臺灣體育運動大學,140315,體育學系,96.97
一般,公立,國立屏東大學,140315,體育學系,100
一般,私立,輔仁大學,140315,體育學系,94.55
一般,私立,中國文化大學,140315,體育學系,91.84
一般,公立,臺北市立大學,140315,體育學系,100
一般,公立,國立臺灣師範大學,140325,健康促進與衛生教育學系,90
一般,公立,國立東華大學,140329,體育與運動科學系,87.8
一般,公立,國立彰化師範大學,140330,運動學系,97.78
