一般,公立,國立臺灣大學,720401,物理治療學系,94.74,1
一般,公立,國立成功大學,720401,物理治療學系,92.11,1
一般,私立,長庚大學,720401,物理治療學系,90.91,1
一般,私立,義守大學,720401,物理治療學系,94.74,1
一般,私立,高雄醫學大學,720401,物理治療學系,90,1
一般,私立,慈濟大學,720401,物理治療學系,85.37,1
一般,私立,中山醫學大學,720401,物理治療學系,90,1
技職,私立,輔英科技大學,720401,物理治療系,98,1
技職,私立,弘光科技大學,720401,物理治療系,98.84,1
一般,私立,中國醫藥大學,720401,物理治療學系,86,1
一般,公立,國立臺灣大學,720402,職能治療學系,84.21,1
一般,公立,國立成功大學,720402,職能治療學系,80.65,1
一般,私立,輔仁大學,720402,職能治療學系,90.91,1
一般,私立,長庚大學,720402,職能治療學系,90,1
一般,私立,義守大學,720402,職能治療學系,92.86,1
一般,私立,高雄醫學大學,720402,職能治療學系,95,1
一般,私立,中山醫學大學,720402,職能治療學系,84.44,1
技職,公立,國立臺北護理健康大學,720404,語言治療與聽力學系,100,1
一般,私立,中山醫學大學,720404,語言治療與聽力學系,96.25,1
一般,私立,馬偕醫學院,720405,聽力暨語言治療學系,93.33,1
一般,私立,高雄醫學大學,720407,運動醫學系,94.55,1
一般,私立,中國醫藥大學,720407,運動醫學系,88.89,1
一般,公立,國立陽明大學,720411,物理治療暨輔助科技學系,90,1
