技職,私立,高苑科技大學,480503,資訊科技應用系,42,1
一般,私立,佛光大學,480503,資訊應用學系,92.86,1
技職,私立,醒吾科技大學,480503,資訊科技應用系,30,1
一般,公立,國立臺中教育大學,480505,數位內容科技學系,95.65,1
一般,私立,實踐大學,480507,資訊模擬與設計學系,92.73,1
技職,私立,嘉南藥理大學,480513,應用空間資訊系,83.04,1
技職,私立,健行科技大學,480513,應用空間資訊系,42,1
技職,私立,環球科技大學,480516,多媒體動畫設計系,64.21,1
一般,私立,康寧大學,480517,數位應用學系,36,1
技職,私立,嘉南藥理大學,480519,資訊多媒體應用系,83.04,1
技職,私立,經國管理暨健康學院,480519,資訊多媒體應用系,52.83,1
一般,私立,台灣首府大學,480521,資訊與多媒體設計學系,30,1
技職,私立,南開科技大學,480523,數位生活創意系,57.14,1
一般,私立,大葉大學,480524,多媒體數位內容學位學程,96.43,1
一般,私立,長榮大學,480525,數位內容創作學士學位學程,89.8,1
技職,私立,文藻外語大學,480528,數位內容應用與管理系,91.67,1
一般,私立,稻江科技暨管理學院,480530,行動科技學系,46,1
技職,私立,高苑科技大學,480532,行動多媒體設計學位學程,53.33,1
一般,私立,亞洲大學,480533,行動商務與多媒體應用學系,97.14,1
